gene	female_older_adult_2
101928784	0
101928790	0
101928795	0.00113380802631528
101928797	4.7905956549852e-4
101928809	0
101928820	0
101928823	0
101928834	0
101928837	0
101928844	0
101928845	0
101928846	0
101928847	0
101928850	0
101928857	0
101928858	0
101928865	0
101928881	0
101928886	0
101928894	0
101928896	0
101928909	0
101928922	0
101928937	0
101928940	0
101928973	0.00517876359326724
101928978	0
101928988	0
101928989	0
101928999	0
101929002	0
101929004	0
101929019	0
101929027	0
101929034	0
101929052	0.00599449601643819
101929064	0
101929076	0
101929081	0
101929084	0
101929109	0
101929110	0
101929116	0
101929123	0
101929144	0
101929151	0
101929153	0
101929154	0
101929162	0
101929164	0
101929172	0
101929176	0
101929181	0
101929210	0
101929224	0
101929239	0
101929241	0.01820846014139417
101929243	0
101929260	0
101929261	0
101929265	0
101929268	0
101929269	0
101929288	0
101929315	0
101929328	0
101929335	0
101929378	0.03623373855673988
101929384	0
101929406	0
101929407	0
101929413	0
101929423	0
101929441	0
101929460	0
101929472	0
101929478	0
101929486	0
101929488	0
101929497	0.02102986511085057
101929505	0
101929511	-0.00290350108013455
101929517	0
101929524	0
101929526	0
101929528	0.01253530627819939
101929529	0
101929536	0
101929538	0.01039508349233689
101929549	0
101929552	0
101929557	0
101929570	0
101929582	0
101929584	0
101929586	0
101929591	0
101929592	0
101929607	0
101929620	0
101929623	0
101929631	0
101929651	0
101929657	0
101929690	0
101929693	-0.01368608908516023
101929694	0
101929717	0
101929718	0
101929719	0.00870654371382635
101929726	0
101929730	0
101929745	0
101929748	0
101929759	0.00266296612980698
101929760	0
101929765	0
10193	0
101930114	-0.07005958092295952
101930421	0
101930452	0
10194	0.00251433324577986
10195	0
101954204	0
10196	0
10197	0
101978719	0
10198	0
10199	0
102	0
1020	0.00460164264755802
10200	0.00787877846092388
10201	-0.01185348039622906
10202	0
10203	-0.03265826449137323
10204	0
10205	1.1694524132211e-4
10206	0
102060282	0
10207	0.02968577643906075
10208	0
10209	0
1021	0.00396237723860257
10210	0
10211	0.00265476517773906
10212	0
10213	0
10214	0
10215	0.01795664405989401
102157402	0
10216	0
10217	0.01682822047926339
10218	0
10219	0.00841499741981348
1022	0
10220	0
10221	0
10223	-0.02529010578353931
10224	0.00557204209102345
10225	0
10226	-0.01385581602815567
10227	-0.00515995883108741
10228	0
10229	0
10230	0
10231	0.00101903144891737
10232	0
10233	-0.01053360715636859
10234	0
10235	-0.0078242446742995
10236	0
10237	-0.00797445742125181
10238	0
1024	0
10240	0
10241	0
10242	0
10243	0
10244	0
10245	0
10246	0
102467079	0
10247	0
10248	0
10249	0
1025	6.8228726104761e-4
10250	0
10251	0.0091402215466717
10252	-0.06210430189039569
10253	0
10254	0
102546226	0
102546294	0
10255	0.12167224340564974
10256	0.00590423388694779
10257	0.07109937081223883
1026	0
10260	0
10261	0
10262	0
10263	0
10265	0
10266	0
10267	0.02737775415229532
10268	0
10269	0
1027	0
10270	0
10272	0
102723335	0
102723526	0
102723661	0
102723684	0
102723692	-0.01469560175201115
102723701	0
102723775	0
102723786	0
102723809	0
102723932	0
102724009	0
102724094	0
102724201	0
102724323	0.0055869340554201
102724368	0.02679707863794714
102724508	0
102724511	0
102724532	-0.04314268355751424
102724612	0
102724699	-0.03016735698494122
102724814	-0.0089810569681758
