gene	female_adult_3
100507459	0
100507461	0
100507462	-0.0032068392771811
100507463	0
100507468	0
100507470	0
100507475	0
100507477	0
100507487	-0.01930029978085914
100507495	0
100507506	0
100507524	0.00729175470240105
100507527	0.001664455884495
100507533	0
100507534	0
100507537	0
100507540	0.02188581664414177
100507547	-0.00223584977243854
100507564	0
100507567	0.03989292958545258
100507584	-0.02802599642674613
100507600	0
100507602	-0.01835559404255423
100507605	0
100507629	0.02350295076555198
100507632	0.01484953289453444
100507642	-0.04871140287149358
100507650	-0.01481795677001619
100508631	0
10051	0
10052	0.02899350569504428
100526820	0
100528062	0
10053	-0.08624644499612216
100533106	0.05421160236994533
100533178	0
100533182	0.03231060796667052
10054	0.01377255396770799
10055	0
10056	0.00583278369193799
10057	0.01744893727788198
10058	0.03147797413592263
10059	0
1006	0
10060	0
10061	-0.00239565914674859
10062	-0.01475024541028777
100628307	0
100631378	0
100652740	-0.00714349848916195
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0.02733596283873078
10069	0
1007	-0.00142726781847791
10071	0
10072	0.02863289963119372
10073	-0.00702590720593811
10075	0
10076	0
10077	0.08112737992452942
10078	0
10079	0
1008	0
10081	0.02589925386490509
10082	0
100820829	-0.0063236204448348
10083	0
10084	0.00406819240143586
10085	0
100852408	0
100852409	0
100859921	0
100859930	0
10086	0.01353129814718355
100861552	0
100861553	0
100861554	-0.00386898207057619
100861573	0
100862662	0
100862671	0
100862679	6.1213144090034e-4
100862680	0
100862704	0.07185574822553817
10087	0
100873930	-0.01818216706423778
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	-0.00733667017970414
100874251	0
100874253	-0.01900928651814757
100874323	0
100874362	-0.04290788059583931
100874365	0
100885778	0
100885781	-0.03146887258958127
100885798	0
100885848	0
10089	0
1009	0
10090	0.0153210851633478
10092	-0.02357383747099435
10093	0.00865881462955892
10095	0
10096	0
10097	0
10098	-0.05009286926361971
10099	0.02347188898762175
100996246	-0.00620853339438973
100996251	0
100996279	0
100996286	0.1592576767050213
100996301	0
100996307	0
100996342	0
100996419	0.02157350829696856
100996425	-0.1035829214365212
100996455	0
100996485	0.02639164451570703
100996490	-0.03442360183698181
100996492	0
100996570	0
100996579	0.04090126588235297
100996590	-0.0040802197370986
100996624	0
100996671	0
100996694	0
100996702	-0.01597807639884057
100996902	0
101	-0.02431857444045866
1010	-0.03349380054900539
10100	0
10101	0
10102	0.00273590964791444
10103	-0.00392481625561183
10105	0
101055625	0.04629921345718459
101059948	0
10106	0
101060019	0
101060200	0
101060264	-0.03668641333362725
101060544	0
10107	-0.00938973938491973
10109	-0.02598452956803055
10110	0
10111	-0.06387509106865542
10112	-0.0147670893173846
10113	-0.01210738701389841
10114	0.01533585595190692
10116	0
10117	0
1012	0
10120	0
10121	0
10123	-0.02955500746801336
10125	-0.01599930919673738
10126	0
10127	0
10128	0.00639846219923413
10129	0
1013	0
10130	0
10131	-0.00424659464778153
10133	-0.01875012053613095
10134	0
10135	0
10136	0
10137	0
10138	0.0032776503834544
10139	0
1014	0
10140	0.00829041043409276
10141	0
101410533	4.0087171741438e-4
101410538	0.00346197466839242
10142	0
10143	-0.02561447904818892
10144	0
10146	0
10147	0.01316879965913543
10148	0
10149	0
1015	0
10150	0
10152	-0.01112238881193693
10153	0.00314559114229897
10154	0
10155	0
101559451	-0.00682040389740505
