gene	female_middle_adult_2
101929591	0
101929592	0.02415912227628948
101929607	0
101929620	0
101929623	0.0184586777630994
101929631	0
101929651	-7.337441188737e-4
101929657	0
101929690	0
101929693	0
101929694	0
101929717	0
101929718	0
101929719	0
101929726	0
101929730	0.016436963314239
101929745	0
101929748	0
101929759	0
101929760	0
101929765	0
10193	0
101930114	0.08534392643912679
101930421	0
101930452	-0.02319464073196842
10194	-0.01466403625128425
10195	-0.01444794946963673
101954204	0
10196	0
10197	-0.00775242376688387
101978719	0
10198	0
10199	0
102	0
1020	0
10200	-0.0198912862616233
10201	0
10202	0
10203	0
10204	-0.01336911371329119
10205	0
10206	0
102060282	-0.00119724817208287
10207	0
10208	4.7628339915424e-4
10209	0
1021	0
10210	0
10211	0
10212	0.01019431600956176
10213	0
10214	0
10215	-0.02380393292317031
102157402	0.03605359988795836
10216	0.03452566017682444
10217	-0.0314442446432053
10218	0
10219	0.02425459664387165
1022	-0.04008678998220271
10220	0
10221	-0.02768886738053443
10223	-0.0326581838102487
10224	-0.00983885958522529
10225	-0.012136395523403
10226	-0.00151215903145222
10227	0.00995750203604126
10228	0
10229	0
10230	0
10231	0
10232	0.05915838792012831
10233	0.0773891217491148
10234	0
10235	0
10236	0
10237	0.0026951030696928
10238	0
1024	-0.03157642274348519
10240	-0.00494125563573348
10241	0
10242	0
10243	0.0929136843660793
10244	-0.01055685068924411
10245	0
10246	0
102467079	0
10247	-0.04420285241288246
10248	0.00248898880589421
10249	0
1025	0
10250	0
10251	0
10252	0
10253	-0.00966744897887103
10254	0.0114781334791975
102546226	0
102546294	0
10255	0.09927785907643072
10256	0.02279873251624493
10257	-0.07813540853722274
1026	-0.00108483998767149
10260	0.00474159067265905
10261	0.00793073077077691
10262	0
10263	0
10265	0
10266	0.03982799005987775
10267	0
10268	0.02134868859943201
10269	0
1027	0
10270	0.00869789324190575
10272	0.00684211725417861
102723335	-0.01536678071839799
102723526	0
102723661	0
102723684	0
102723692	-0.01542110595813141
102723701	0
102723775	0
102723786	0
102723809	0.0125928889948053
102723932	0.04307262235652971
102724009	-0.00335768421306879
102724094	0.05556110962624767
102724201	-0.01013192987727632
102724323	0.00483895600200312
102724368	-0.00123176866627769
102724508	0.07322157875094704
102724511	0
102724532	0
102724612	0
102724699	0
102724814	-0.01395295967643852
102724927	0
102724929	0
10273	-0.01626678426037518
10274	0
10276	0
10277	0
10278	0
10279	-0.00128225470057035
1028	0.13511271308331457
10280	0
10281	0
10282	0
10283	4.8883907988682e-4
10284	-8.463256436868e-4
10285	0.0073945946200244
10286	-0.0039689494275085
10287	0.01211645170862301
10288	0.00646108838968172
10289	-0.02060082393203409
1029	0.00782655714392761
10290	0.04199132328756393
10291	0
10293	-0.01024550400700424
10294	0
10295	0.03166480842419812
10296	0
10297	0
10298	-0.01159015644193604
10299	0
103	0.02015031071461104
1030	-0.02128358147505936
10300	0
10301	0.02548353648693587
10302	-0.00351681176964772
10307	0
10308	0
10309	0
1031	0.00936417820161982
10311	0
10312	0.02350560532225115
10313	0.00341385064140297
10314	0.01740685165921929
10316	0.01182586196018308
10317	0
10318	-0.00174674722898334
10319	0.05819385192739843
1032	0.00121561880193018
10320	-0.00901927983611702
10321	0.0224019718146342
10322	0.05139617146735208
10324	0
