sex	age_group	term	combined_zscore
female	adult	skeletal-muscle-tissue_unknown_male	1.1222413764971586
female	adult	small-intestine-Peyer's-patch_unknown_male	1.4830952858050797
female	adult	small-intestine-Peyer's-patch_unknown_female	0.7486711399863151
female	adult	spleen_unknown_male	1.7726288952648528
female	adult	stomach_unknown_male	1.6481133073374723
female	adult	subcutaneous-adipose-tissue_unknown_male	0.9862461129290235
female	adult	subcutaneous-adipose-tissue_unknown_female	0.3013277213349669
female	adult	substantia-nigra_unknown_male	1.267318596595178
female	adult	suprapubic-skin_unknown_male	0.8496843848769272
female	adult	thyroid-gland_unknown_male	1.3194085936694555
female	adult	tibial-artery_unknown_male	1.2099886935274629
female	adult	tibial-nerve_unknown_male	0.9107569564034637
female	adult	transformed-skin-fibroblast_unknown_male	2.0803936784420687
female	adult	transverse-colon_unknown_male	1.2429352256478965
female	adult	urinary-bladder_unknown_male	1.2695775705452255
female	adult	colon_unknown_male	-0.49581187909103785
female	adult	whole-blood_adult_female	-2.672570257901149
female	adult	whole-blood_adult_male	1.1773145833297904
female	adult	thyroid-gland-tumor_adult_male	-0.3510193332043274
