gene	female_child_2
10940	0.00151524059545039
10942	-0.01438751906168981
10943	0.00646062973694474
10944	0
10945	0
10946	-0.00829181040873376
10947	6.4560182045846e-4
10948	0
10949	-0.00714873013103398
10950	0.00778455858655114
10952	0.00440186643669938
10953	6.6147263862017e-4
10954	0.01053041968293553
10955	0.00698666817562384
10956	0
10957	0
10959	0
10960	0
10961	0
10962	0
10963	0
10964	0
10966	-0.00365247978144169
10969	-0.00236336288377152
10970	0
10972	0
10973	0
10974	0
10975	0
10978	0.00139801761200126
10979	-5.2359031016578e-4
10980	0
10981	0.00996802795115422
10982	0
10983	9.7289984296634e-4
10985	0
10987	0
10988	-0.0011120283985352
10989	-0.0057611877552081
10990	0.00256722446879374
10991	4.8048352368428e-4
10992	-0.00203608598527062
10993	-0.00195002566775018
10994	-1.4485207783198e-4
10998	0
109	-0.00856451395968647
10	0
11000	-0.0099385012392342
11001	0
11004	-0.00582134280695215
11005	0
11006	0
11007	0
11009	0.00479974094232124
11010	0
11011	0
11012	0
11013	-2.5348295467157e-4
11014	0.00117464144774166
11015	-0.00229739229783129
11016	-3.9731966378555e-4
11017	0
11018	-0.00161335049684894
11019	0
1101	-0.00142879185489603
11020	0
11021	-0.00343837821817337
11022	0
11024	0.00835810868391507
11025	-0.00153551318730441
11027	-0.00624724957919847
1102	0.00387857847173955
11030	0
11031	0.00193479504384787
11033	0
11034	0
11037	0.00268571314743461
1103	0.00528510059138591
11040	-0.00166613746365292
11041	-0.00905214153711459
11043	-0.00277249503245866
11044	0.00191434938540489
11045	0.00248657062007019
11046	0
11047	0
1104	0
11051	0
11052	-0.00889410467554178
11054	4.9593806353661e-4
11055	0.00176570103955131
11056	-0.00169388566008362
11057	0
11059	0
1105	0
11060	-0.00104330364092361
11061	0
11062	0
11063	0
11064	0
11065	0.00820373970109157
11066	0
11067	0
11068	0
11069	0
11070	0.00627442105687352
11072	-0.00320024140152801
11073	0
11074	0
11075	0
11076	0.00497883874719308
11078	0
11079	8.25407670668844e-5
1107	0.00400082011007775
11080	0.01317073141567416
11081	0
11082	0
11083	0
11085	0
11086	0
1108	-0.00176654627889025
11092	0
11093	0
11094	0
11095	0
11096	-7.6299095783408e-4
11097	0
11098	-0.02617791386662293
11099	0
1109	0
11100	0
11102	0
11103	0
11104	0
11107	0.01340924963820483
11108	0
11113	0
11116	0.00943427701409838
11117	-0.00239538191987326
11118	0.01634021750167426
11119	0.00379471776938593
1111	0
11120	0.00203318387954965
11122	0
11123	0.01023790669029385
11124	0
11126	-0.01638491574298181
11127	0
11129	0.00132015771448451
1112	0
11130	0.01071785099807027
11131	0
11132	-0.00333833684450938
11133	0
11135	0
11136	0
11137	0
11138	0.00304062875814858
1113	-0.01502059501263863
11140	-2.7792043580673e-4
11142	-0.02836826934188891
11144	0
11145	0.03292436740757529
11146	0
11147	0
11148	0.00366594016728456
1114	0
11151	0
11152	0.00687694593028317
11153	4.8333547421615e-4
11154	-0.00131081048893634
11155	0
11156	0
11157	0
11160	0.00893624299605064
11161	0
11162	0
11163	0.00895884263296461
11166	-0.00431055145203643
11167	0.00297244600938884
11168	0
11169	4.7713701639603e-4
1116	0.00113897745375059
11170	0
11171	0
11172	0
11174	0
11176	0
11177	0.00560080019891288
11178	0
11179	-0.00380018177087433
1117	0.02693259426129593
11180	0.00126837743508951
11181	0
11182	0
11183	0
11184	0
11186	0.00220162668445999
11187	0
11188	0
11189	0
1118	0.00111166293572784
11190	0
11193	0
11194	0.00365408490388049
11196	-0.00293162366034372
11197	0
11198	0
11199	0
1119	0
11201	0.00245395742185675
11202	0
11211	0
11212	0.00450863011096948
11213	0.00481863693932602
11214	0
11215	0.00960567213389437
11216	0.02954244120787608
11219	0
1121	0
11221	0
11222	0.01340771721777769
11223	0.00598618042531852
11226	0.00874270211260208
11228	0
1122	0
11230	0
11231	0
11232	0
11234	-0.00583082855846659
11235	0
11236	0.00186570679012692
11237	-0.00795656112397753
11238	0
112399	0
1123	-0.00883822049837798
11240	-0.00259279140544127
11243	1.8962205324428e-4
11245	0
112464	0
112479	0
11247	0
11248	-0.0036396258048520002
1124	0
11250	0
11251	-0.00685896812128107
11252	0.00442967661245814
11253	0
11254	0
11255	0
11258	0
11259	0
11260	0
112611	-0.00283388711696818
11261	0
11262	0.00554823333835557
11264	0
11266	0
11267	0
11273	0.00226426508496507
11275	0
11276	-0.0044011051575636
11277	-5.4259037487325e-4
11278	0
11279	0
11280	0
11281	0
11282	-0.00450697315912091
11283	0
11284	0
11285	0
112869	0.00161462098318371
112950	0
1129	0.00494340299676405
112	-0.0011433721956181
11309	0.00100549357380742
1130	2.7097892840206e-4
11311	0
11313	0
113146	0
11314	0.01325084943349764
11315	0.00327559521319028
11316	0
113177	-0.00247933404952666
113178	0
11317	-7.1057626026292e-4
11318	0
11319	-0.01292125333397633
11320	0
11321	0
11322	0.00860479956296424
113251	0
11325	0
11326	0.02893091720389821
11329	0
1132	0
11330	0.00219378358045347
11331	-9.7552020240141e-4
11332	0
11333	0
11334	0
11335	0
11336	0
11337	0
11338	0
11339	0
1133	-0.00429549463218832
11340	-9.7971504884389e-4
113419	0
11341	0.00717701616035964
11342	0
11343	-0.0161019465515187
11344	-0.00419853801794695
11345	0
11346	-0.00140143994092232
1134	0
1135	-0.00480688833041104
1136	0.00261081435734238
113791	0.00339652619979574
1137	0
113835	0
113878	-0.00634839326159494
1138	0
113	0.01400457106346977
114034	0
114044	0
114049	0
114088	0
1140	-0.01606471924546271
114112	0
1141	-4.708576129391387e-5
1142	0
114327	0
1143	-0.00388830765583215
1144	0
114548	-0.01009506361314344
1145	-0.00626595956815987
114625	0
1146	0.00955592070532498
114791	0
1147	0.01198168662404959
114819	0
114876	-0.00751089954079735
114881	0
114882	0.01050192129877313
114883	0.00158045377477622
114884	-0.00110489562384764
114885	-0.00135905479504378
114897	-0.00211294406828264
114899	0
114908	0.00432906098388884
114932	0
1149	0
114	0
115123	0
115201	0
115207	0.00747212192979741
115290	0
1152	-0.00817100268816893
115353	0
1153	0
1154	0
1155	0.00632717561900928
115703	0
115708	0
115817	-0.01118774679520328
1158	0
115939	0.00178680928180204
115	0
116039	0
1160	0.00107080756500201
116138	0
1161	0
116285	0
116372	-0.00735175247045261
116496	0
1164	-0.00270299097378508
116828	0
116832	0
116984	0
116985	0
116986	0
116987	0
116	0
117178	0
