gene	female_infant_2
10417	0.00352014376354873
10418	0
10419	0
1041	0
10420	0
10421	0
10422	0
10423	0
10424	0
10425	0
10426	0
10427	0
10428	-1.9415429540831e-4
10430	-0.00386131065570185
10432	9.4759602362273e-4
10434	0.00358547118703775
10435	0
10436	0
10437	0
10438	0.00790712950665214
10439	0
1043	0.02409756019164773
10440	2.1311918176145e-4
10443	-0.00184924594293552
10444	0
10445	0
10446	0
10449	0
1044	0
10450	0
10451	-0.00222029448287189
10454	0
10455	-0.0044783333907291
10456	-0.00119821938693879
10457	0
10458	0
1045	0
10460	-0.0037366372229797
10461	-0.00863344178512855
10462	0
10463	0
10464	-0.00351259689788971
10465	0
10466	0
10467	0
10468	0
10469	0.0013789642014295
1046	0
10471	0.01186521294035705
10472	-0.00643253482421936
10473	-0.00272333456394661
10474	0
10475	0
10478	0
10479	0
1047	0
10480	0.00269791605063753
10481	0
10482	0
10483	0
10484	0
10485	0
10486	0
10487	-0.0014580856521833
10488	0
10489	0
1048	0
10490	-0.009798293661482
10491	-0.00356939414000711
10492	0.00477533347117813
10493	0
10494	0
10495	0
10497	-8.6284153561604e-4
10498	-0.01462710179181827
10499	-6.1238005129331e-4
104	0
10500	0
10501	0
10505	0
10507	-0.00300558971044482
1050	0
10512	-0.00116987791582235
10513	-0.00725049628070348
10514	0
10516	-0.0024150815097088
10518	0
10519	0
1051	-0.001791245189927
10520	0
10521	-0.00488116073774517
10522	0
10523	0
10524	0
10525	0
10526	0
10527	0
10528	0
10529	0
1052	0
10531	-3.2067805105235e-4
10533	-0.0010108663344995
10534	0
10535	0
10536	0
10537	-0.00914854299241538
10538	0
10539	0
1053	0
10540	0
10541	-0.00369577422031512
10542	-0.00592425213576728
10544	0
10548	-0.0013620867901552
10549	0
1054	0
10550	-0.00265066057413363
10551	0
10552	-0.00339761096385508
10553	-0.00888037770952531
10554	-0.00184772618155018
10555	0
10556	0
10557	-0.00105655991070764
10558	-0.00416417213439694
10559	0
10560	-0.00999096430880002
10561	-0.03709895845683501
10562	0
10563	-0.00518695618662624
10564	0
10565	-0.00396472643226593
10566	0
10567	0.0011844971570299
10568	-0.00317518406029199
1056	0
10570	0
10572	0
10573	0
10574	0
10575	0
10576	8.4637374342556e-4
10577	0
10578	-0.00732254204429851
10579	0
10580	0.00146120426338844
10581	0
10584	0
10585	0
10586	0
10587	0
10589	0
1058	-0.00253407570051901
10590	0
10591	0
10592	0
10594	-2.7479033755066e-4
10595	0
10598	0.0060995191705338
10599	0
1059	-3.5143234738289e-4
105	0
10600	0
10602	0.00846014814312098
10603	0.00708326275842778
10606	0
10607	0
10608	0.00346356281219039
10609	0
1060	0
10610	0
10611	0
10612	0
10613	-0.00412976891629696
10614	0
10615	1.3382534432574e-4
10616	0
10617	-0.00268646424587134
10618	-0.00610968839432511
10621	-2.5270645230686e-4
10622	0
10623	-0.00393856033230193
10625	0
10627	0
10628	-0.00238703054831801
10629	0
1062	-0.00278621218155073
10630	0
10631	-0.00332046252776622
10632	0.00948916269292561
10633	0
10634	-0.00486771672263926
10635	0
10636	0
10637	0
1063	0
10640	-0.00468648660555042
10641	0
10643	0.09183625892810214
10645	0
10647	0
10648	0
10650	0
10651	-0.00914786340625609
10652	0
10653	0
10654	8.1161514611922e-4
10656	0.00119880898305575
10657	0
10658	0
10659	-0.00284267191868375
10660	0
10661	-0.01451033632286374
10663	0
10664	0
10665	0
10666	0.00157606202280596
10667	0
10668	-0.00128775237339331
10669	0
10670	0
10671	0
10672	0.00366489740134791
10675	1.5745541633498e-4
10677	-3.1900880763162e-4
10678	0
10681	-0.00603112392349682
10682	0
10683	0
10686	0.00879776482757747
10687	0
1068	0
10690	0
10691	-0.00291460791027176
10692	0
10693	0.00432907250237311
10694	0
10695	0
10699	0
1069	-0.00801538532020293
1070	6.9564957379054e-4
10712	0
10713	-7.461146735181e-4
10714	0
10716	0
1071	0.00155056005538
10721	0
10723	0.02710830110512364
10724	0
10725	0.00826892150091604
10726	0
10728	0
10730	0
10732	0
10733	0
10734	0
10735	0
10736	0
10737	-0.00115534734953306
10738	-0.00563512564238529
10739	0
10741	0
10742	-0.00453119029041607
10744	0
10745	0
10746	0.00751333348909286
10747	0
10749	0.00214268228834445
10750	0
10752	0
10753	0
10755	0
10758	0
1075	0
10761	0
10762	-3.0639931684477e-4
10763	0
10765	0
10766	0
10767	0
10768	-0.00412631971736907
10769	0
10771	0
10772	0
10773	0
10775	0
10776	-0.00136181420269864
10777	0.00273226635106134
10778	0
10780	0
10781	0.00541412342661652
10782	-0.01870993867548451
10785	0
10786	5.5797376660737e-4
10787	0
10788	0.01893989681098464
10791	0
10793	-0.01750454182170409
10794	0
10795	0
10797	0
10798	0
10799	0
107	0
10801	0.00148063954185474
10802	0
10803	0.02618357526247125
10807	0
10808	0.00223463769151177
1080	0
10810	-0.02984602768928263
10813	0
10814	0
10816	0
10817	0
10818	0
1081	0
10825	0
10826	-0.00927510110574491
10827	-0.0074846338441012
10840	0.00430523393675296
10841	0.00337210058506603
10842	0.00755664208897633
10844	0.00412535143677954
10845	0
10846	0
10847	0
10848	0
10849	-0.00304007613315322
1084	0
10850	0
10855	0
10856	0
10857	-0.01439167336440816
10858	0
10859	0
10861	0
10863	-0.01132166602307113
10864	0
10865	-0.00172578568392513
10866	-0.03107292424939566
10867	0
10868	0
10869	0
10871	0.00479010537656274
10873	1.3038745853335e-4
10874	0
10875	0.00369725112695632
10876	0
10879	0
1087	0
10880	0
10881	0
10882	0
10884	0
10885	0
1088	-0.00693965795844903
10891	0
10892	5.8740578538237e-4
10893	0
10894	0
10895	0
10897	0
10898	0
10899	0
1089	0
108	4.3018958953525e-4
10900	0.00217137436174397
10902	0
10903	0.00655532581479035
10904	-7.2481521189014e-4
10905	-0.00485605095725353
10906	0
