gene	female_older_adult_2
10533	0
10534	0
10535	0
10536	0
10537	0
10538	0.01027420296548865
10539	-0.00344308498928876
1053	0.00325487004699543
10540	0
10541	0
10542	0
10544	0
10548	3.6522081346224e-4
10549	0
1054	0.00520424479938075
10550	0.00114409342796603
10551	0
10552	-0.00771636716742517
10553	-6.7254551681168e-4
10554	-0.01123219465230428
10555	0
10556	0
10557	0.00641833685524449
10558	0
10559	0.01044296927744425
10560	-0.00684390930505839
10561	-0.02873088359248657
10562	0.07417652445178231
10563	0.0131742591784098
10564	8.8607413972561e-4
10565	0
10566	-6.035273324182e-4
10567	0.00365271882507979
10568	0.00278731678196775
1056	0.00335693443409831
10570	0
10572	-0.00704973826069094
10573	0
10574	0
10575	-0.00675435377561809
10576	0
10577	-0.00359981860515293
10578	0.0233428894302363
10579	0.00785183151306306
10580	0
10581	0.02959458564633905
10584	0
10585	0
10586	0.00362281007820101
10587	0
10589	-0.00490347520417223
1058	0
10590	0
10591	0
10592	0.00775868422306577
10594	0
10595	0
10598	0.00119743556794392
10599	0
1059	-0.00195829434938035
105	-0.00167032538979655
10600	0.00693839963363395
10602	-0.00679727985230528
10603	0.01666139697800502
10606	-0.00441992021551954
10607	0
10608	0
10609	0
1060	-0.00571122210577351
10610	-0.01101363610155315
10611	-0.00517043614121414
10612	0
10613	-0.00992812910585067
10614	5.229984823537e-4
10615	-4.8172360686048e-4
10616	0
10617	0
10618	0
10621	0.01710066607850269
10622	-0.00350544772002193
10623	-5.5855001008765e-4
10625	0.00444119164732876
10627	-4.4689353367544e-4
10628	-0.00848253563887787
10629	0.00653949874103771
1062	0
10630	0
10631	-0.04263009156175273
10632	0
10633	0
10634	-0.00970862455035208
10635	0.00841937375922546
10636	-0.00612048402009147
10637	-0.01651300360000452
1063	-0.00634717531614837
10640	0
10641	0
10643	-0.00839645880540978
10645	-0.00138618518586738
10647	-0.01268656704439114
10648	0
10650	0
10651	0.00488469152130132
10652	0
10653	0
10654	0
10656	0
10657	0
10658	0
10659	-8.70097708480189e-6
10660	-0.00889054813293203
10661	0.0224820103516413
10663	-0.03721826558714253
10664	-0.00193135440420039
10665	0.00297442636321111
10666	0.01104106516912448
10667	0
10668	0
10669	0
10670	0
10671	0.00863197376521266
10672	0.00177046646059877
10675	0
10677	0.00333588537730766
10678	-0.02271749435612721
10681	0.0072990170098224
10682	0
10683	0
10686	-0.00127130187270405
10687	0.00205736322070836
1068	-0.00337638368505022
10690	0
10691	0.00260730562967221
10692	0.00109654397779024
10693	-0.01751077495257332
10694	0.00160114495228178
10695	0.00110333768693431
10699	0.01006759458770708
1069	-0.00716448008251605
1070	0.02372868127916626
10712	1.0031157905764e-4
10713	0
10714	-0.00923995488047124
10716	0
1071	-0.03809196046264
10721	0
10723	0.01180868619784285
10724	-0.0071987002971484
10725	0
10726	-0.00110022143622077
10728	0
10730	0
10732	0
10733	0.0047652569725962
10734	-0.0173954547366181
10735	-0.00997372973645104
10736	0
10737	3.1852471194486e-4
10738	0.00568969435592806
10739	-0.0046110000402487
10741	0
10742	0
10744	0.00900918259085946
10745	0.00138602951783701
10746	0
10747	0.00455621084871094
10749	-0.00285840199912903
10750	0
10752	0
10753	-8.773619694283029e-5
10755	-0.01966181381542731
10758	0
1075	0
10761	0.00494054073549415
10762	-0.00156303865918776
10763	0
10765	-0.01205585758650583
10766	-0.02048323383119539
10767	-0.01108205606006468
10768	-0.00143244898474821
10769	0.01047328254790439
10771	0
10772	-0.00173484263493849
10773	0.01505808594542453
10775	0
10776	0
10777	-0.00409702932751096
10778	-0.01330395460099969
10780	-0.00678158982166511
10781	0.00100481497186172
10782	-0.00573524921920741
10785	0.00438151648152394
10786	0
10787	-0.00725627395835117
10788	-0.00799537278285226
10791	-0.00667956022439791
10793	-0.01845233229792151
10794	0
10795	0.00145441834262354
10797	0
10798	0
10799	-0.00447647439647356
107	0
10801	-0.01625595480114058
10802	3.6607967255939e-4
10803	-0.02641124506287225
10807	0
10808	0
1080	0.00126615925565271
10810	0.00122536633332807
10813	0
10814	-6.2297473830117e-4
10816	0
10817	0
10818	0
1081	0.00327732803000423
10825	-0.00101104670192785
10826	0
10827	0.0046684949331541
10840	0.01296120146131971
10841	0
10842	-0.01185162635715428
10844	-8.002745778448e-4
10845	0
10846	-0.00718462051211213
10847	-3.8707797077398246e-5
10848	0
10849	-0.00929319576614465
1084	0.00270562326440071
10850	-0.00269357072027041
10855	0
10856	0
10857	0
10858	-0.01304497070334527
10859	0.00446552718885515
10861	0
10863	0.03245904768656111
10864	0
10865	0.01781054359697312
10866	0.01975662063021657
10867	0
10868	0
10869	0
10871	-3.0034939619084e-4
10873	0
10874	0
10875	-0.00612548807876517
10876	0
10879	0.03600687894133724
1087	0
10880	-8.9331227926748e-4
10881	0
10882	0
10884	0
10885	0
1088	0.03903815201981054
10891	0.01219464718642117
10892	2.1107158088165e-4
10893	0
10894	-0.00503479571491532
10895	0.00338604659223934
10897	-0.01029290204228296
10898	5.0440035115614e-4
10899	0.00370790685977363
1089	0.00953316429708747
108	0
10900	0
10902	0
10903	0
10904	-0.00380270858682226
10905	0
10906	0
10907	-0.00948520910462434
10908	0
10911	0.00608073998944882
10912	-2.4870763404123e-4
10913	-0.00531791101935668
10914	0
10915	-0.00359840120992727
10916	0
10917	-0.01020763876782481
10919	0
10920	0
10921	-0.0021352158682625
10922	0
10923	0.01295010964472996
10924	0.01069190653440959
10926	0
10927	-0.00704964671710144
10928	0
10929	0.00354385989439565
10930	0
10935	0.00101543890322241
10936	0.00984768527358047
10938	0
10939	-0.0027414653320649
10940	-0.00164992843652661
10942	0.04752375928587843
10943	0.00549205880026456
10944	0
10945	0
10946	0
10947	0.0088919229612778
10948	0.00476700210456009
10949	0
10950	0
10952	0
10953	0
10954	-0.00610899910388881
10955	-0.00273291093865812
10956	-7.1451163367353e-4
10957	0
10959	-6.1164586841403e-4
10960	0
10961	-6.0174551216932e-4
10962	0
10963	0
10964	-0.08661706428009255
10966	0.01457751491402624
10969	0
10970	2.8637441634111e-4
10972	0
10973	0
10974	0
10975	0
10978	-0.00482298238810783
10979	0.00719588686867942
10980	0
10981	-0.01908747599365994
10982	0.01055353365838842
10983	0.00237706016664862
10985	-0.00347857252701511
10987	0.00202064360033912
10988	0.00602638281495502
10989	0
10990	-0.00754952365078214
10991	0
10992	0
10993	1.3520946948328e-4
10994	0.01503482508563908
10998	-1.1321322216314e-4
109	-0.0191714892268349
10	0
11000	-0.0040269559696098
11001	-0.0083451765836329
11004	-0.00155462608993318
11005	-0.01001565201055033
11006	-0.00322891392159507
11007	-0.00464726608449475
11009	0
11010	0.01977415351078341
11011	-0.00772322212817613
11012	0
11013	0.01080137805281048
11014	0.0049663754638736
11015	0
11016	8.4365832536455e-4
11017	0
11018	0.00468320408683896
11019	0.0118270850250867
1101	-0.0036763978711793
11020	0
11021	0
11022	-0.00786677254217484
11024	-5.1205013843902e-4
11025	0
11027	0
1102	-0.02822397980353433
11030	0
11031	0.01938971870020626
11033	-0.01627418405557781
11034	0
11037	0.01191124433039651
1103	0.00335673565123038
11040	3.1155662147156e-4
11041	0
11043	0
11044	0
11045	-0.00319882473467703
11046	0
11047	0
1104	0
11051	0.01596017858533694
11052	-0.00948188783482693
11054	8.802823463206128e-5
11055	-0.00837268472259818
11056	-0.00542841541620369
11057	0.00501695115731997
11059	0.00546282288948681
1105	0
11060	0
11061	0.00981521977834195
11062	0.00167247336771141
11063	-0.00388695175026833
11064	0
11065	-0.03847898165726402
11066	0
11067	-0.00725609878593275
11068	0.01414205096182011
11069	0
11070	0
11072	0
11073	-0.00506901900448655
11074	5.0806818062779e-4
11075	0
11076	-0.00566070406531608
11078	-0.02093366479887027
11079	0
1107	0
11080	-0.01318857627419061
11081	0
11082	-0.00125464610220541
11083	0.00173800726931604
11085	0
11086	0
1108	4.4890646224871e-4
11092	4.9122414650235e-4
11093	0
11094	0
11095	-5.317938675358e-4
11096	0
11097	0
11098	0.02617019433781885
11099	0
1109	0
11100	0
11102	0.00929485729562371
11103	0
11104	0
11107	-0.01288294041969572
11108	0.00583950896538779
11113	0
11116	0
11117	0
