gene	female-infant-coarse-3
101929607	0
101929620	0
101929623	0
101929631	0
101929651	0
101929657	0
101929690	0
101929693	0
101929694	0
101929717	0
101929718	0
101929719	0
101929726	0
101929730	0
101929745	0
101929748	0
101929759	0
101929760	0
101929765	0
10193	0
101930114	0
101930421	0
101930452	0
10194	0
10195	0
101954204	0.01053140758080972
10196	0
10197	0
101978719	0
10198	0
10199	-0.00207812086158738
102	0
1020	0
10200	0
10201	0
10202	0
10203	0
10204	0
10205	-0.020892692826937974
10206	0
102060282	0
10207	0
10208	0
10209	0
1021	-0.027393719246765633
10210	0
10211	0
10212	0
10213	0
10214	0
10215	0
102157402	0
10216	-0.008759514311469126
10217	0
10218	0
10219	0
1022	0
10220	0
10221	0
10223	0.022500790969691056
10224	0
10225	0
10226	0
10227	0
10228	0
10229	0
10230	0
10231	0
10232	-0.004106887153814689
10233	0
10234	-0.009551940942136615
10235	0
10236	0
10237	0
10238	0
1024	0
10240	0
10241	0
10242	0
10243	0
10244	0
10245	-0.008482744689007914
10246	0
102467079	0
10247	0.01190774566081292
10248	0
10249	0
1025	-0.00807985670454474
10250	0
10251	0
10252	0
10253	0.014403270046553387
10254	0
102546226	0
102546294	0
10255	0.02525735661389582
10256	0
10257	0
1026	0.01858706279802611
10260	0
10261	0
10262	0
10263	0
10265	0
10266	-0.02079535862757658
10267	0
10268	0
10269	0
1027	0
10270	0
10272	-0.00224424276045733
102723335	0.00859032853564181
102723526	0
102723661	0
102723684	0
102723692	0
102723701	0
102723775	0
102723786	0
102723809	0.011507711865288126
102723932	0
102724009	0.0040198104858944995
102724094	-0.004115626861922231
102724201	0
102724323	0.024846275788030087
102724368	0
102724508	0
102724511	0
102724532	0
102724612	0
102724699	0
102724814	0
102724927	0
102724929	0
10273	0
10274	0
10276	0.0338769486441704
10277	0
10278	0
10279	0
1028	-0.006843325294082714
10280	0
10281	0
10282	0
10283	0
10284	0
10285	0
10286	0
10287	0
10288	0
10289	0
1029	0
10290	0.018540782193354637
10291	0
10293	0
10294	0
10295	0
10296	0
10297	0.004666716491496137
10298	0
10299	0
103	0
1030	0
10300	0
10301	0
10302	0
10307	0
10308	0
10309	0
1031	-0.006600912101783117
10311	0
10312	0
10313	0
10314	0
10316	0
10317	0
10318	0
10319	0
1032	0
10320	-0.006189893997281799
10321	0
10322	0
10324	0
10325	0
10326	0
10327	-0.001449991664869555
10328	0
10329	0
1033	0
10330	-1.8677060447390596e-4
10331	0
10332	0
10333	0
10335	0
10336	0
10342	0
10343	0
10344	0
10345	0
10346	0
10347	-0.007533225884681689
10350	0
