gene	male-older_adult-fine-3
1006	0.013169720106281762
10060	-0.012899391008792858
10061	-0.03693382090767541
10062	0
100628307	0.006990916861678194
100631378	0
100652740	0
100652791	0
100652824	0
100652853	-0.009922547786577017
100652911	0
100652929	-0.0044511632775634915
100652999	0.03527557642215855
10066	0
10067	0
10068	-0.009866936801188107
10069	0.0099536636606483
1007	0.01600666027535851
10071	0
10072	-0.00610591029361554
10073	0
10075	0
10076	0.06408363213536025
10077	0.032120178205495696
10078	-0.044088304615889314
10079	0.026443536334053934
1008	0
10081	0
10082	0.006689565159536906
100820829	0.06999757065456279
10083	-0.042733559445597445
10084	-0.019539545808151915
10085	-0.009480075139181155
100852408	0.021971558730324227
100852409	0
100859921	0
100859930	0
10086	0.017522026031999805
100861552	0
100861553	0.0024592616858499583
100861554	0
100861573	0
100862662	0
100862671	0.007096767772690851
100862679	-0.0016277800860547743
100862680	0.003900346180048469
100862704	-0.03797380680026615
10087	0
100873930	0.016813011794047338
100873942	0
100874012	0
100874018	0
100874021	-0.00679662817022261
100874032	-0.0018707937624141602
100874051	-0.01906080591333053
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0.02419304439716996
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0
100874323	-0.014519480784067805
100874362	0
100874365	-0.02043670518842436
100885778	0
100885781	0
100885798	0
100885848	0.035790372842013925
10089	0
1009	0
10090	-0.007287231178224048
10092	0
10093	0
10095	0
10096	0
10097	0
10098	-0.026936130357709007
10099	0.026286709018959437
100996246	-0.05454502589855447
100996251	0
100996279	0
100996286	0
100996301	0
100996307	-0.06273434016667616
100996342	0.019505762491204687
100996419	0
100996425	-0.04721820510248252
100996455	-0.014732491683400756
100996485	-0.010070537127286767
100996490	0
100996492	0
100996570	0
100996579	0.08237872732831619
100996590	0.023211710927937536
100996624	0
100996671	-0.003595066505579692
100996694	-0.00617957412926973
100996702	0
100996902	0
101	0.06052101014462068
1010	0
10100	0.011166704087986267
10101	0
10102	-3.174572679256704e-4
10103	-0.06476894559638287
10105	0.004590787039628601
101055625	0.07135248033605913
101059948	0
10106	0.012852159289257642
101060019	-6.685811583482509e-4
101060200	0
101060264	-0.03630299201484439
101060544	0.0017241804335485203
10107	0
10109	0
10110	-0.03298929960274963
10111	0
10112	0
10113	0
10114	-0.002779774825044348
10116	0
10117	0.04668863412326608
1012	0
10120	0
10121	0
10123	-0.05628760837134789
10125	-0.027318391469927573
10126	-0.012082596485073434
10127	-0.06693955193753523
10128	0
10129	0.04579918295321082
1013	-0.023138916023632532
10130	0
10131	-0.05120794752764267
10133	0.0012836118480295286
10134	0.0032371865995998532
10135	-0.014839426632999432
10136	-0.0026879440239587827
10137	-0.012032104546884484
10138	0.011873389322001042
10139	0.004829692448427242
1014	0
10140	-0.03268269556644873
10141	-0.05457674803730938
101410533	-0.0844731532662925
101410538	8.077710250084992e-4
10142	-0.00981906169703217
10143	0.044263170345480184
10144	-0.03876501437150703
10146	0.008250983286189732
10147	0.013657613857318668
10148	0
10149	-0.00825003467705134
1015	0.0021543953021810995
10150	0
10152	0.019335325484736952
10153	0.010024529733017574
10154	0.010482333662552754
10155	0.012137764517535303
101559451	0.02208945576911316
10157	-0.011952704973032434
10158	-0.04586870092598314
10159	-0.006379545295255924
1016	-0.010638133093522488
10160	0
10161	7.75199667362337e-4
10162	-0.02201651586074933
10163	0
10164	0.0019327852685179566
10165	0.05923818282672879
10166	-0.01392770239275861
10168	0
10169	0.0038883105939060128
1017	-0.004408114050909377
10170	0
10171	0.05144908575128339
10172	0.028036810941955176
10174	-0.009148525896286262
10175	-0.04038674738792718
10178	-0.02519334791507938
10179	0
10180	0.018162289171603438
101805491	0
10181	-0.0036586006309063416
10184	-0.024691276045149754
10186	0
10188	0
10189	-0.014275917577942221
1019	-0.031937185563278944
10190	0
101926888	-0.017477655979600576
101926890	-0.011420675815841457
101926892	-0.036919407174396256
101926903	0.013542928001801844
101926928	-0.04162686610272941
101926934	-0.04276553112156523
101926942	0
101926951	-0.008897142822635004
101926978	0
101926987	-0.03350690947730492
101927003	0.019737532232607168
101927007	0
101927017	-0.024542386888964825
101927018	0
101927027	-0.05560753893834212
101927034	0.007033248828088824
101927038	0.0012874438324137968
101927040	-0.030051487309057063
101927043	-0.03980099881152858
101927051	0
101927059	0.0026651887766090013
101927067	0.001516817517245467
101927074	0
101927075	-0.008776149630360353
101927081	0.012519881947019272
101927096	-0.017132548185363267
101927111	0.02429088132276178
101927112	0
101927115	0.0203134169403183
101927123	0.06078152009630837
101927124	-0.05702475015761987
101927125	-0.0036500675937409816
101927129	0
101927131	0
101927138	0
101927143	0.023896840869984625
101927150	0.004436103270588688
101927151	-0.028719831368380327
101927152	-0.01781875333604599
101927159	0
101927164	0
101927193	0.06003469297654486
101927195	0
101927196	0
101927204	-0.003584107892397228
101927219	0.025355494456681137
101927220	0
101927228	0
101927237	0.014649315881227217
101927244	0
101927253	0.02738588307935045
101927257	0
101927273	0
101927274	0
101927275	0
101927282	-0.005473516143898323
101927286	0.002320376133066877
101927292	-0.020463466899640056
101927295	0.03211070627653412
101927310	0
101927314	-0.05586222188734043
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0.008931421556008592
101927410	0
101927411	0
101927416	0.026959661473730037
101927417	0
101927420	0
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	-0.02333413180425734
101927482	0.06519234938702051
101927494	0
101927495	0
101927498	0.0018749565421837693
101927502	0.034705218759804576
101927503	0.007134415680758477
101927513	0
101927523	0
101927526	0
101927528	0
101927531	-0.04060257937556442
101927539	0
101927543	-0.013281577597340447
