gene	male-fetus-coarse-1
10699	0
1069	0
1070	0
10712	0
10713	0
10714	0
10716	0.0028725908415753463
1071	0.0028023941077040355
10721	0
10723	0
10724	0
10725	-6.711787006457072e-4
10726	0
10728	0
10730	0
10732	-8.233108415216109e-4
10733	0
10734	0
10735	-7.667604940643932e-5
10736	-0.005705003774799993
10737	0
10738	0
10739	0
10741	0
10742	1.0377716289959329e-4
10744	0
10745	0
10746	-7.663237650993594e-4
10747	0
10749	0
10750	0
10752	0
10753	0
10755	0
10758	0
1075	3.037735523347519e-4
10761	0
10762	0
10763	0
10765	0.00454310980348107
10766	0
10767	-0.001982846089321851
10768	0
10769	0.007538156198223844
10771	0
10772	0
10773	0
10775	0
10776	0
10777	0
10778	0
10780	0
10781	0
10782	0
10785	0
10786	-7.793196467653928e-4
10787	0
10788	8.020238230800015e-4
10791	0
10793	-5.870852264369396e-4
10794	0
10795	0
10797	0
10798	0
10799	0
107	0
10801	-4.340120586084413e-4
10802	0
10803	0
10807	0
10808	0
1080	0
10810	0
10813	0
10814	0
10816	0
10817	0
10818	0
1081	0
10825	0
10826	0
10827	0
10840	0
10841	0
10842	0
10844	0
10845	0
10846	0
10847	0
10848	-0.003312055744333648
10849	0
1084	0
10850	0
10855	-0.0025820319400411207
10856	0
10857	0
10858	0
10859	0
10861	0
10863	0
10864	0
10865	0
10866	-0.013200826320420515
10867	0
10868	0
10869	0
10871	0
10873	0
10874	-0.007579112489164557
10875	-0.014362755597440475
10876	0
10879	0
1087	0.0012386956561256076
10880	0
10881	0
10882	0
10884	0
10885	0
1088	0
10891	0
10892	0
10893	0
10894	0.008153220383536684
10895	0
10897	0
10898	-6.256315089013984e-4
10899	0
1089	0
108	0
10900	0
10902	0
10903	0
10904	0
10905	0
10906	0
10907	0
10908	0
10911	0
10912	0
10913	0
10914	0
10915	0
10916	0.0033351126804016568
10917	0
10919	0
10920	0
10921	0
10922	-8.347109942742063e-4
10923	0
10924	0.008265716135329565
10926	0
10927	0
10928	0
10929	0
10930	0
10935	0
10936	0
10938	0.0018884409433950415
10939	-0.0025499462114028067
10940	0
10942	0
10943	0
10944	0
10945	0.001193004443487355
10946	0
10947	0
10948	0
10949	0.0049611030753536406
10950	0
10952	0
10953	-6.943855460410041e-4
10954	0
10955	-0.0023028655999946775
10956	0
10957	4.176680672901248e-5
10959	0
10960	0
10961	0
10962	0
10963	0.00520181250417909
10964	-0.02430120792841883
10966	-0.009614786755797586
10969	0
10970	0.002587086384337665
10972	0
10973	0
10974	-0.016431985510390292
10975	0
10978	0
10979	0.006807382342891579
10980	0
10981	0.0014678321526646108
10982	0
10983	0
10985	0
10987	0
10988	0
10989	0
10990	0
10991	0
10992	0
10993	-0.004184001451285353
10994	0
10998	0
109	0
10	-0.0013218579296452506
11000	0
11001	0
11004	0
11005	-0.0033155675903164743
11006	-5.026907920160406e-4
11007	0
11009	6.738285378933427e-4
11010	0
11011	0
11012	0
11013	0.017949792068408122
