gene	male-fetus-fine-2
10664	0.0010458065322698784
10665	0
10666	0.0015063134445137418
10667	0
10668	0
10669	-0.006279348452819602
10670	0
10671	0
10672	0
10675	4.7083075147576095e-4
10677	0
10678	0
10681	0
10682	0.0031284320820164388
10683	0
10686	0
10687	-0.006730155252903384
1068	0
10690	0
10691	0
10692	0
10693	0
10694	0
10695	0
10699	0
1069	0
1070	0
10712	0
10713	0
10714	0
10716	0
1071	0
10721	0
10723	0
10724	0
10725	-3.9987826837172333e-4
10726	0
10728	0
10730	0
10732	0
10733	0
10734	0
10735	-0.002701556161764536
10736	-0.004505307584855396
10737	0
10738	0
10739	0
10741	0
10742	0
10744	0
10745	0
10746	-0.0013821730176148954
10747	0
10749	0
10750	0
10752	-0.0010999581837952928
10753	0
10755	0
10758	0
1075	0.007144858446096302
10761	0
10762	0
10763	0
10765	0.006749257691383087
10766	0
10767	-2.8098609742511994e-4
10768	0
10769	0.0020530406069205706
10771	0
10772	0
10773	0
10775	0
10776	0
10777	0
10778	0
10780	0
10781	0
10782	0
10785	0
10786	-0.002501409268202939
10787	-0.0020636439829957074
10788	0.0015453156573289805
10791	0
10793	-0.00568796155397581
10794	0
10795	0
10797	-2.2842911033570711e-4
10798	0
10799	0
107	0
10801	0
10802	0
10803	0
10807	0
10808	0
1080	0
10810	0
10813	0
10814	-4.382673597164315e-4
10816	0
10817	0
10818	0
1081	0
10825	0
10826	0
10827	0
10840	0
10841	6.269857302638653e-4
10842	-3.7849515879365366e-5
10844	0
10845	0
10846	0
10847	0
10848	0
10849	0
1084	0
10850	0
10855	-4.284761235328953e-4
10856	0
10857	0
10858	0
10859	-7.576052303434194e-4
10861	0
10863	-0.0018282994746926715
10864	0
10865	0
10866	-0.008277654542468676
10867	0
10868	0
10869	0
10871	-4.814549868403376e-4
10873	0
10874	0
10875	-0.01280383689727883
10876	0
10879	0
1087	0
10880	0
10881	0
10882	-0.003291134428901185
10884	0
10885	0
1088	0
10891	0
10892	0
10893	0
10894	0.004505263899555305
10895	0
10897	0
10898	0
10899	-2.572318210117127e-4
1089	0
108	0
10900	0
10902	0
10903	0
10904	0.0025136048889022916
10905	0
10906	0.0028310879762300325
10907	0
10908	0
10911	0
10912	0
10913	0
10914	0
10915	0
10916	0.0067822512772219975
10917	0
10919	0
10920	0
10921	-9.907405386261991e-5
10922	0
10923	0
10924	0
10926	-0.006334200645038505
10927	0
10928	0
10929	0.001059640972187942
10930	0
10935	0
10936	0
10938	0.003959408104927401
10939	-0.003406420548323291
10940	0
10942	-6.754503116943321e-4
10943	0
10944	0
10945	0.0018762901879833967
10946	0
10947	0
10948	0
10949	0.006691734978395178
10950	0
10952	0
10953	0
10954	0
10955	-0.0018638819378795123
10956	0
10957	0
10959	-8.90023104324704e-4
10960	0
10961	0
10962	0.012624190258264365
10963	0.003978354661068045
10964	-0.007011024533421774
10966	-0.007526958315182297
10969	0
10970	0.0061110736325354674
10972	0
10973	0
10974	-0.017954045830677827
10975	0
10978	7.819941035745406e-4
10979	0.0019712073204638746
10980	0
10981	0
10982	0
10983	0
10985	0
10987	-0.0011169968941807397
10988	0
10989	-5.780096661807591e-4
10990	0
10991	0
10992	0
