gene	male-adult-fine-2
100862679	0
100862680	0
100862704	0.005405735577552226
10087	0
100873930	-0.00492912738436677
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0
100874051	-0.0043025047136315145
100874063	-0.012121275555586192
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0.011129753298533352
100874205	0
100874239	-0.016859787816771304
100874251	0.01138583642346509
100874253	-0.0057439035847419075
100874323	0
100874362	0.010869582632941792
100874365	-0.0034938720687027872
100885778	0.009750741581813103
100885781	-8.170534970308749e-4
100885798	0
100885848	-0.01306202720790232
10089	-0.057655792330020494
1009	-0.022350318201401157
10090	-0.02636312896962545
10092	0.0028055075523066102
10093	0
10095	0.015310334239922983
10096	0
10097	0
10098	0.01569259310142285
10099	0
100996246	0
100996251	0
100996279	0
100996286	-0.05052640798248421
100996301	0.0035335956068702416
100996307	-0.09820917389886526
100996342	0
100996419	0.0012238171204111625
100996425	0.015325465648111096
100996455	0
100996485	0.05705903376270799
100996490	0.009466198369398807
100996492	0.01808427595226106
100996570	0.011538871733863252
100996579	0.10413593212366842
100996590	-0.006142169538512797
100996624	0
100996671	0.04551438508289265
100996694	0
100996702	-0.04675050240434656
100996902	0.019764692977040955
101	0.038113183953129535
1010	-0.053320916061360725
10100	-0.12414214963121104
10101	-0.006429099403494126
10102	0
10103	0
10105	0.014128233506040143
101055625	0.029787015458469672
101059948	0.004912000909285508
10106	0
101060019	0
101060200	0.03691104614455345
101060264	-0.012104043802589158
101060544	-0.001141600216120932
10107	0
10109	-0.011576548989576366
10110	-0.030392670965433462
10111	0
10112	0.022387642706867893
10113	0
10114	-6.94356877431205e-4
10116	0
10117	0.011478731622283706
1012	-0.010282826915171421
10120	-0.0015755397037391027
10121	0
10123	-0.019939591881017807
10125	0.05874244844064844
10126	-0.006796547563792414
10127	0.005381382373561685
10128	0
10129	-0.0032508636533443154
1013	-3.563459889283961e-4
10130	4.62357567136263e-4
10131	0.006991869815109402
10133	0
10134	0.018558183116952637
10135	-0.022175550432035476
10136	0
10137	0
10138	0.02251211813477994
10139	-0.019079160536213797
1014	0
10140	-0.00802898882052148
10141	0
101410533	-0.01023188977096143
101410538	-0.002866043501868984
10142	0
10143	0
10144	0
10146	0.017759760233714214
10147	0.010881633524785288
10148	0.01756375077383297
10149	6.047317075760753e-4
1015	0.0189587215817773
10150	0
10152	-0.003067389785611269
10153	-0.029197445975135287
10154	0
10155	0.020128477243533775
101559451	0.04639369115292843
10157	0
10158	0.02777798310942951
10159	-1.3404814807257921e-9
1016	0
10160	-0.004474945919667823
10161	-0.016527558603479296
10162	0
10163	-0.02229606846519814
10164	0
10165	0
10166	0.001831539728614098
10168	0.01916535988861368
10169	-0.0405905680862758
1017	-0.04088350321689569
10170	0.00743184291900943
10171	0
10172	-0.02449061348463223
10174	0
10175	0.041255804760430795
10178	-0.04266206162715162
10179	0
10180	0.028460427851321916
101805491	0.00700240017177877
10181	-0.015600577845452381
10184	-0.015478356320514166
10186	-0.011903400859114822
10188	0.003357033983103669
10189	0
1019	0.02976179793770858
10190	-0.012396995275710978
101926888	0.05597456599982432
101926890	0.003232082426944455
101926892	-0.014355064052202444
101926903	0.07975957019633148
101926928	0.0317234814630893
101926934	-0.03202583583247197
101926942	0
101926951	0
101926978	0
101926987	-0.06380669442331036
101927003	0
101927007	0
101927017	0
101927018	0.0017766148381301874
101927027	-0.023961802593058166
101927034	0
101927038	-0.004750228065464106
101927040	-0.012926405184904783
101927043	0
101927051	0.013433803805918822
101927059	0
