gene	male-old_adult-fine-3
100506668	-7.407066043073225e-4
100506675	-0.03748172779128127
100506677	0
100506679	0
100506680	0
100506686	0
100506691	-0.028412810308594532
100506696	0.03030342480140861
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	0.04192598362033844
100506779	0
100506790	0
100506791	0
100506795	0.020760101375913723
100506797	0
100506826	0.007465355781694496
100506827	0
100506834	0
100506840	0
100506866	0.024673097700404066
100506874	0
100506895	0
100506907	0
100506922	0.00834856584409618
100506930	0
100506963	0
100506994	-0.015447786865329943
100506999	0.0331398583300507
100507027	-0.04483331916503581
100507034	0
100507050	0
100507057	0
100507058	0
100507059	0
100507062	-0.02148187779843
100507064	0.03534356149094594
100507086	-0.0027895701790880746
100507114	0
100507117	0
100507143	0
100507156	-0.019594154639262167
100507171	-0.017833994315531367
100507173	0
100507203	0
100507206	0
100507240	0
100507246	0
100507250	-0.017972068055537777
100507254	0
100507257	-0.008800950706793091
100507261	0
100507266	0
100507274	0
100507277	-0.009267785712059608
100507283	0
100507290	0
100507300	0
100507303	0.08332272675548232
100507316	-0.014123946995492674
100507331	-0.021158062823401255
100507336	0
100507362	0
100507384	0.007034250011862148
100507388	0.05950904433247051
100507389	0.021195118403521663
100507391	-0.008731075909046251
100507392	-6.329364208725838e-4
100507403	0
100507421	0
100507423	0.0026928759181761917
100507428	0
100507433	-0.006630108982651853
100507436	-0.02553131966966727
100507459	-0.014211101768438277
100507461	-0.004128952199872605
100507462	0
100507463	-0.03389010197752711
100507468	0
100507470	0
100507475	0
100507477	0
100507487	-0.011594760816979171
100507495	0
100507506	0
100507524	0.021106914503677906
100507527	-0.005116709211620139
100507533	0
100507534	0.014518572281235596
100507537	-6.912939541133581e-4
100507540	0.05057151516393135
100507547	-0.053807553560821564
100507564	0.0033765501275546676
100507567	0.0369592436758911
100507584	0
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	0.00309191529353658
100507650	-0.027849603335612455
100508631	0.014102610886288901
10051	0
10052	-0.07672719783779924
100526820	0
100528062	-0.01718877456800166
10053	0
100533106	0.006427240020254917
100533178	-9.365383569922444e-5
100533182	0.005325759075327074
10054	0.015139170871233952
10055	-0.03009240152436927
10056	0
10057	0
10058	0
10059	0
1006	0
10060	0.007534085721162758
10061	0.01041702472791611
10062	0.024590598922687147
100628307	0
100631378	0
100652740	0.0047431716838424514
100652791	0
100652824	0
100652853	0.04768231045579382
100652911	0
100652929	0
100652999	-0.009140682662878366
10066	0
10067	0
10068	0
10069	0
1007	0
10071	0.006862195352084656
10072	0.003830070991883537
10073	0
10075	0.0020549895831697765
10076	-0.011708380547077145
10077	0
10078	0.03440568048372512
10079	-0.008923524139212892
1008	-0.030039702039193143
10081	-0.015177947942414236
10082	-0.007598327360751413
100820829	0.0015561297188645734
10083	-0.022859374262131152
10084	0.023799936648690016
10085	-0.004930676224193102
100852408	0
100852409	0
100859921	0
100859930	0
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	0.014726283144859366
100862679	0
100862680	0.029071000918321335
100862704	0.06104606250923528
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.007703195336921899
100874051	0.022678161063363716
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	-0.011874236343996787
100874195	0
100874205	0
100874239	0
100874251	0.02879633293985694
100874253	0.01726379380460757
100874323	0.03495298600664281
100874362	-0.01779244292130394
100874365	0.001981650213118009
100885778	0
100885781	0
100885798	0
100885848	-0.0039313327079453335
10089	-0.008841379061438396
1009	0.005246489903476801
10090	-0.005588631871926475
10092	-0.02033218164293151
10093	0
10095	-0.117975986586652
10096	-5.336277922816645e-4
10097	0.0042206382638671335
10098	-0.04029703008817537
10099	0
