gene	group
54962	pos_female-adolescent-coarse-1
55075	pos_female-adolescent-coarse-1
5514	pos_female-adolescent-coarse-1
55177	pos_female-adolescent-coarse-1
55230	pos_female-adolescent-coarse-1
55295	pos_female-adolescent-coarse-1
55314	pos_female-adolescent-coarse-1
55344	pos_female-adolescent-coarse-1
55504	pos_female-adolescent-coarse-1
55510	pos_female-adolescent-coarse-1
55529	pos_female-adolescent-coarse-1
55600	pos_female-adolescent-coarse-1
55619	pos_female-adolescent-coarse-1
55640	pos_female-adolescent-coarse-1
55672	pos_female-adolescent-coarse-1
55720	pos_female-adolescent-coarse-1
55771	pos_female-adolescent-coarse-1
55799	pos_female-adolescent-coarse-1
55809	pos_female-adolescent-coarse-1
5590	pos_female-adolescent-coarse-1
5595	pos_female-adolescent-coarse-1
5601	pos_female-adolescent-coarse-1
5603	pos_female-adolescent-coarse-1
56163	pos_female-adolescent-coarse-1
56242	pos_female-adolescent-coarse-1
56253	pos_female-adolescent-coarse-1
56344	pos_female-adolescent-coarse-1
56479	pos_female-adolescent-coarse-1
56603	pos_female-adolescent-coarse-1
56833	pos_female-adolescent-coarse-1
56907	pos_female-adolescent-coarse-1
56952	pos_female-adolescent-coarse-1
56975	pos_female-adolescent-coarse-1
56998	pos_female-adolescent-coarse-1
57096	pos_female-adolescent-coarse-1
57124	pos_female-adolescent-coarse-1
57156	pos_female-adolescent-coarse-1
57214	pos_female-adolescent-coarse-1
5727	pos_female-adolescent-coarse-1
5730	pos_female-adolescent-coarse-1
57405	pos_female-adolescent-coarse-1
57530	pos_female-adolescent-coarse-1
5783	pos_female-adolescent-coarse-1
5792	pos_female-adolescent-coarse-1
5816	pos_female-adolescent-coarse-1
586	pos_female-adolescent-coarse-1
59084	pos_female-adolescent-coarse-1
59285	pos_female-adolescent-coarse-1
5967	pos_female-adolescent-coarse-1
5995	pos_female-adolescent-coarse-1
5997	pos_female-adolescent-coarse-1
6038	pos_female-adolescent-coarse-1
6097	pos_female-adolescent-coarse-1
6311	pos_female-adolescent-coarse-1
6372	pos_female-adolescent-coarse-1
63874	pos_female-adolescent-coarse-1
63898	pos_female-adolescent-coarse-1
64073	pos_female-adolescent-coarse-1
64077	pos_female-adolescent-coarse-1
64081	pos_female-adolescent-coarse-1
64105	pos_female-adolescent-coarse-1
6414	pos_female-adolescent-coarse-1
64167	pos_female-adolescent-coarse-1
642946	pos_female-adolescent-coarse-1
644246	pos_female-adolescent-coarse-1
64431	pos_female-adolescent-coarse-1
644844	pos_female-adolescent-coarse-1
645323	pos_female-adolescent-coarse-1
64577	pos_female-adolescent-coarse-1
64581	pos_female-adolescent-coarse-1
646982	pos_female-adolescent-coarse-1
6491	pos_female-adolescent-coarse-1
65055	pos_female-adolescent-coarse-1
6507	pos_female-adolescent-coarse-1
6541	pos_female-adolescent-coarse-1
655	pos_female-adolescent-coarse-1
6574	pos_female-adolescent-coarse-1
66002	pos_female-adolescent-coarse-1
66004	pos_female-adolescent-coarse-1
666	pos_female-adolescent-coarse-1
6691	pos_female-adolescent-coarse-1
6714	pos_female-adolescent-coarse-1
677766	pos_female-adolescent-coarse-1
6817	pos_female-adolescent-coarse-1
684959	pos_female-adolescent-coarse-1
6872	pos_female-adolescent-coarse-1
6915	pos_female-adolescent-coarse-1
7008	pos_female-adolescent-coarse-1
7015	pos_female-adolescent-coarse-1
7022	pos_female-adolescent-coarse-1
7023	pos_female-adolescent-coarse-1
7033	pos_female-adolescent-coarse-1
7053	pos_female-adolescent-coarse-1
7070	pos_female-adolescent-coarse-1
7071	pos_female-adolescent-coarse-1
7108	pos_female-adolescent-coarse-1
712	pos_female-adolescent-coarse-1
7128	pos_female-adolescent-coarse-1
7138	pos_female-adolescent-coarse-1
715	pos_female-adolescent-coarse-1
722	pos_female-adolescent-coarse-1
7220	pos_female-adolescent-coarse-1
7249	pos_female-adolescent-coarse-1
7262	pos_female-adolescent-coarse-1
727	pos_female-adolescent-coarse-1
7280	pos_female-adolescent-coarse-1
7286	pos_female-adolescent-coarse-1
7414	pos_female-adolescent-coarse-1
7422	pos_female-adolescent-coarse-1
7429	pos_female-adolescent-coarse-1
7436	pos_female-adolescent-coarse-1
7450	pos_female-adolescent-coarse-1
751071	pos_female-adolescent-coarse-1
7517	pos_female-adolescent-coarse-1
752014	pos_female-adolescent-coarse-1
763	pos_female-adolescent-coarse-1
7678	pos_female-adolescent-coarse-1
777	pos_female-adolescent-coarse-1
7786	pos_female-adolescent-coarse-1
7791	pos_female-adolescent-coarse-1
7840	pos_female-adolescent-coarse-1
79004	pos_female-adolescent-coarse-1
79007	pos_female-adolescent-coarse-1
79016	pos_female-adolescent-coarse-1
79056	pos_female-adolescent-coarse-1
79092	pos_female-adolescent-coarse-1
79153	pos_female-adolescent-coarse-1
79187	pos_female-adolescent-coarse-1
79611	pos_female-adolescent-coarse-1
79698	pos_female-adolescent-coarse-1
79711	pos_female-adolescent-coarse-1
79738	pos_female-adolescent-coarse-1
79739	pos_female-adolescent-coarse-1
79741	pos_female-adolescent-coarse-1
7980	pos_female-adolescent-coarse-1
79815	pos_female-adolescent-coarse-1
7982	pos_female-adolescent-coarse-1
79836	pos_female-adolescent-coarse-1
79839	pos_female-adolescent-coarse-1
79848	pos_female-adolescent-coarse-1
79886	pos_female-adolescent-coarse-1
79901	pos_female-adolescent-coarse-1
79903	pos_female-adolescent-coarse-1
79906	pos_female-adolescent-coarse-1
79959	pos_female-adolescent-coarse-1
80004	pos_female-adolescent-coarse-1
80008	pos_female-adolescent-coarse-1
80022	pos_female-adolescent-coarse-1
80313	pos_female-adolescent-coarse-1
80323	pos_female-adolescent-coarse-1
8038	pos_female-adolescent-coarse-1
80700	pos_female-adolescent-coarse-1
80763	pos_female-adolescent-coarse-1
8131	pos_female-adolescent-coarse-1
81617	pos_female-adolescent-coarse-1
81624	pos_female-adolescent-coarse-1
81629	pos_female-adolescent-coarse-1
81789	pos_female-adolescent-coarse-1
81790	pos_female-adolescent-coarse-1
820	pos_female-adolescent-coarse-1
8292	pos_female-adolescent-coarse-1
83449	pos_female-adolescent-coarse-1
83547	pos_female-adolescent-coarse-1
83608	pos_female-adolescent-coarse-1
83857	pos_female-adolescent-coarse-1
83937	pos_female-adolescent-coarse-1
84033	pos_female-adolescent-coarse-1
84296	pos_female-adolescent-coarse-1
84329	pos_female-adolescent-coarse-1
84447	pos_female-adolescent-coarse-1
84688	pos_female-adolescent-coarse-1
84722	pos_female-adolescent-coarse-1
8490	pos_female-adolescent-coarse-1
84909	pos_female-adolescent-coarse-1
84940	pos_female-adolescent-coarse-1
84973	pos_female-adolescent-coarse-1
85459	pos_female-adolescent-coarse-1
8605	pos_female-adolescent-coarse-1
868	pos_female-adolescent-coarse-1
8685	pos_female-adolescent-coarse-1
8701	pos_female-adolescent-coarse-1
8707	pos_female-adolescent-coarse-1
8824	pos_female-adolescent-coarse-1
8835	pos_female-adolescent-coarse-1
8846	pos_female-adolescent-coarse-1
8857	pos_female-adolescent-coarse-1
891	pos_female-adolescent-coarse-1
89795	pos_female-adolescent-coarse-1
89849	pos_female-adolescent-coarse-1
90204	pos_female-adolescent-coarse-1
9033	pos_female-adolescent-coarse-1
91300	pos_female-adolescent-coarse-1
91373	pos_female-adolescent-coarse-1
91526	pos_female-adolescent-coarse-1
9156	pos_female-adolescent-coarse-1
917	pos_female-adolescent-coarse-1
9235	pos_female-adolescent-coarse-1
9244	pos_female-adolescent-coarse-1
93145	pos_female-adolescent-coarse-1
932	pos_female-adolescent-coarse-1
9331	pos_female-adolescent-coarse-1
9397	pos_female-adolescent-coarse-1
942	pos_female-adolescent-coarse-1
94235	pos_female-adolescent-coarse-1
9424	pos_female-adolescent-coarse-1
94240	pos_female-adolescent-coarse-1
94274	pos_female-adolescent-coarse-1
9442	pos_female-adolescent-coarse-1
9451	pos_female-adolescent-coarse-1
9547	pos_female-adolescent-coarse-1
9562	pos_female-adolescent-coarse-1
9656	pos_female-adolescent-coarse-1
9666	pos_female-adolescent-coarse-1
9765	pos_female-adolescent-coarse-1
978	pos_female-adolescent-coarse-1
9823	pos_female-adolescent-coarse-1
9832	pos_female-adolescent-coarse-1
987	pos_female-adolescent-coarse-1
9902	pos_female-adolescent-coarse-1
9909	pos_female-adolescent-coarse-1
9962	pos_female-adolescent-coarse-1
9986	pos_female-adolescent-coarse-1
10004	neg_female-adolescent-coarse-1
100129858	neg_female-adolescent-coarse-1
100130733	neg_female-adolescent-coarse-1
100130958	neg_female-adolescent-coarse-1
10026	neg_female-adolescent-coarse-1
100505741	neg_female-adolescent-coarse-1
100505746	neg_female-adolescent-coarse-1
100505881	neg_female-adolescent-coarse-1
100506098	neg_female-adolescent-coarse-1
100506675	neg_female-adolescent-coarse-1
100506826	neg_female-adolescent-coarse-1
100507064	neg_female-adolescent-coarse-1
100507254	neg_female-adolescent-coarse-1
100507433	neg_female-adolescent-coarse-1
10058	neg_female-adolescent-coarse-1
100652740	neg_female-adolescent-coarse-1
100820829	neg_female-adolescent-coarse-1
10100	neg_female-adolescent-coarse-1
10158	neg_female-adolescent-coarse-1
1016	neg_female-adolescent-coarse-1
10161	neg_female-adolescent-coarse-1
10171	neg_female-adolescent-coarse-1
101927482	neg_female-adolescent-coarse-1
101927843	neg_female-adolescent-coarse-1
101927884	neg_female-adolescent-coarse-1
101928820	neg_female-adolescent-coarse-1
101929378	neg_female-adolescent-coarse-1
10211	neg_female-adolescent-coarse-1
10219	neg_female-adolescent-coarse-1
10255	neg_female-adolescent-coarse-1
10267	neg_female-adolescent-coarse-1
1029	neg_female-adolescent-coarse-1
10336	neg_female-adolescent-coarse-1
10351	neg_female-adolescent-coarse-1
10361	neg_female-adolescent-coarse-1
10365	neg_female-adolescent-coarse-1
10381	neg_female-adolescent-coarse-1
10406	neg_female-adolescent-coarse-1
10409	neg_female-adolescent-coarse-1
10425	neg_female-adolescent-coarse-1
10501	neg_female-adolescent-coarse-1
10516	neg_female-adolescent-coarse-1
10538	neg_female-adolescent-coarse-1
10567	neg_female-adolescent-coarse-1
10570	neg_female-adolescent-coarse-1
10615	neg_female-adolescent-coarse-1
10643	neg_female-adolescent-coarse-1
10677	neg_female-adolescent-coarse-1
10769	neg_female-adolescent-coarse-1
10788	neg_female-adolescent-coarse-1
10803	neg_female-adolescent-coarse-1
10826	neg_female-adolescent-coarse-1
10873	neg_female-adolescent-coarse-1
10908	neg_female-adolescent-coarse-1
10942	neg_female-adolescent-coarse-1
10970	neg_female-adolescent-coarse-1
11001	neg_female-adolescent-coarse-1
11004	neg_female-adolescent-coarse-1
11057	neg_female-adolescent-coarse-1
11067	neg_female-adolescent-coarse-1
11184	neg_female-adolescent-coarse-1
112399	neg_female-adolescent-coarse-1
112464	neg_female-adolescent-coarse-1
112476	neg_female-adolescent-coarse-1
11262	neg_female-adolescent-coarse-1
114876	neg_female-adolescent-coarse-1
114907	neg_female-adolescent-coarse-1
115361	neg_female-adolescent-coarse-1
116448	neg_female-adolescent-coarse-1
116983	neg_female-adolescent-coarse-1
117286	neg_female-adolescent-coarse-1
1178	neg_female-adolescent-coarse-1
120526	neg_female-adolescent-coarse-1
121355	neg_female-adolescent-coarse-1
1215	neg_female-adolescent-coarse-1
122509	neg_female-adolescent-coarse-1
123207	neg_female-adolescent-coarse-1
123228	neg_female-adolescent-coarse-1
123263	neg_female-adolescent-coarse-1
125	neg_female-adolescent-coarse-1
126272	neg_female-adolescent-coarse-1
127254	neg_female-adolescent-coarse-1
127255	neg_female-adolescent-coarse-1
1287	neg_female-adolescent-coarse-1
129787	neg_female-adolescent-coarse-1
129804	neg_female-adolescent-coarse-1
130026	neg_female-adolescent-coarse-1
130340	neg_female-adolescent-coarse-1
133957	neg_female-adolescent-coarse-1
134728	neg_female-adolescent-coarse-1
135138	neg_female-adolescent-coarse-1
1359	neg_female-adolescent-coarse-1
1360	neg_female-adolescent-coarse-1
140	neg_female-adolescent-coarse-1
140545	neg_female-adolescent-coarse-1
140711	neg_female-adolescent-coarse-1
140733	neg_female-adolescent-coarse-1
140823	neg_female-adolescent-coarse-1
140862	neg_female-adolescent-coarse-1
1428	neg_female-adolescent-coarse-1
143689	neg_female-adolescent-coarse-1
147700	neg_female-adolescent-coarse-1
148534	neg_female-adolescent-coarse-1
1503	neg_female-adolescent-coarse-1
150967	neg_female-adolescent-coarse-1
1511	neg_female-adolescent-coarse-1
151174	neg_female-adolescent-coarse-1
153527	neg_female-adolescent-coarse-1
154214	neg_female-adolescent-coarse-1
157680	neg_female-adolescent-coarse-1
157922	neg_female-adolescent-coarse-1
158471	neg_female-adolescent-coarse-1
158584	neg_female-adolescent-coarse-1
1591	neg_female-adolescent-coarse-1
1602	neg_female-adolescent-coarse-1
160364	neg_female-adolescent-coarse-1
160518	neg_female-adolescent-coarse-1
163259	neg_female-adolescent-coarse-1
163351	neg_female-adolescent-coarse-1
163732	neg_female-adolescent-coarse-1
1643	neg_female-adolescent-coarse-1
1645	neg_female-adolescent-coarse-1
1646	neg_female-adolescent-coarse-1
165082	neg_female-adolescent-coarse-1
166012	neg_female-adolescent-coarse-1
166824	neg_female-adolescent-coarse-1
1674	neg_female-adolescent-coarse-1
167838	neg_female-adolescent-coarse-1
168455	neg_female-adolescent-coarse-1
170482	neg_female-adolescent-coarse-1
171558	neg_female-adolescent-coarse-1
1728	neg_female-adolescent-coarse-1
1756	neg_female-adolescent-coarse-1
1757	neg_female-adolescent-coarse-1
1760	neg_female-adolescent-coarse-1
1824	neg_female-adolescent-coarse-1
1879	neg_female-adolescent-coarse-1
1896	neg_female-adolescent-coarse-1
193629	neg_female-adolescent-coarse-1
196385	neg_female-adolescent-coarse-1
196500	neg_female-adolescent-coarse-1
197257	neg_female-adolescent-coarse-1
199857	neg_female-adolescent-coarse-1
200403	neg_female-adolescent-coarse-1
200634	neg_female-adolescent-coarse-1
201895	neg_female-adolescent-coarse-1
205	neg_female-adolescent-coarse-1
2099	neg_female-adolescent-coarse-1
2150	neg_female-adolescent-coarse-1
2167	neg_female-adolescent-coarse-1
2177	neg_female-adolescent-coarse-1
2191	neg_female-adolescent-coarse-1
219736	neg_female-adolescent-coarse-1
219790	neg_female-adolescent-coarse-1
220074	neg_female-adolescent-coarse-1
2205	neg_female-adolescent-coarse-1
221188	neg_female-adolescent-coarse-1
221711	neg_female-adolescent-coarse-1
222223	neg_female-adolescent-coarse-1
2254	neg_female-adolescent-coarse-1
