entrez	group
6192	breast_unknown_male
7404	breast_unknown_male
9086	breast_unknown_male
5616	breast_unknown_male
7503	breast_unknown_female
7544	breast_unknown_male
22829	breast_unknown_male
83869	breast_unknown_male
90665	breast_unknown_male
246119	breast_unknown_male
100873962	breast_unknown_male
9087	breast_unknown_male
107987337	breast_unknown_male
286554	breast_unknown_male
84659	breast_unknown_female
5450	breast_unknown_female
7498	breast_unknown_female
80309	breast_unknown_female
3512	breast_unknown_female
155006	breast_unknown_female
92304	breast_unknown_female
121838	breast_unknown_female
1620	breast_unknown_female
51806	breast_unknown_female
63973	breast_unknown_female
100874366	breast_unknown_female
608	breast_unknown_female
58503	breast_unknown_female
645784	breast_unknown_female
6579	breast_unknown_female
270	breast_unknown_female
6736	breast_unknown_male
1592	breast_unknown_female
56033	breast_unknown_female
8618	breast_unknown_male
102723407	breast_unknown_female
122042	breast_unknown_male
253935	breast_unknown_male
114805	breast_unknown_male
810	breast_unknown_female
100996902	breast_unknown_female
525	breast_unknown_female
7780	breast_unknown_female
29951	breast_unknown_male
259232	breast_unknown_female
727677	breast_unknown_female
139065	breast_unknown_male
3229	breast_unknown_female
973	breast_unknown_female
5368	breast_unknown_female
5746	breast_unknown_female
1280	breast_unknown_female
195977	breast_unknown_female
51237	breast_unknown_female
91319	breast_unknown_female
344167	breast_unknown_female
286204	breast_unknown_female
24141	breast_unknown_female
9834	breast_unknown_female
100423062	breast_unknown_female
3290	breast_unknown_male
223075	breast_unknown_female
7031	breast_unknown_female
140730	breast_unknown_male
91683	breast_unknown_female
84889	breast_unknown_female
2196	breast_unknown_female
6538	breast_unknown_female
651	breast_unknown_male
440695	breast_unknown_female
23007	breast_unknown_female
680	breast_unknown_male
3783	breast_unknown_female
63970	breast_unknown_female
139411	breast_unknown_female
119548	breast_unknown_male
399888	breast_unknown_male
442497	breast_unknown_female
3558	breast_unknown_female
85445	breast_unknown_male
2837	breast_unknown_female
6523	breast_unknown_female
3887	breast_unknown_female
1448	breast_unknown_female
728113	breast_unknown_female
339145	breast_unknown_female
83259	breast_unknown_male
83416	breast_unknown_female
6947	breast_unknown_female
1828	breast_unknown_female
10317	breast_unknown_female
389432	breast_unknown_female
653145	breast_unknown_female
84239	breast_unknown_female
554202	breast_unknown_female
79368	breast_unknown_female
8345	breast_unknown_female
2835	breast_unknown_female
84620	breast_unknown_female
219287	breast_unknown_male
8092	breast_unknown_male
22943	breast_unknown_male
4852	breast_unknown_male
2922	breast_unknown_female
7015	breast_unknown_female
89822	breast_unknown_female
3484	breast_unknown_female
50617	breast_unknown_female
2103	breast_unknown_female
5197	breast_unknown_female
100873942	breast_unknown_female
339896	breast_unknown_male
81706	breast_unknown_female
56477	breast_unknown_female
90161	breast_unknown_female
344905	breast_unknown_female
166824	breast_unknown_female
3906	breast_unknown_female
54886	breast_unknown_female
84467	breast_unknown_female
3815	breast_unknown_female
84109	breast_unknown_female
102466658	breast_unknown_female
8823	breast_unknown_male
158434	breast_unknown_female
2848	breast_unknown_female
6326	breast_unknown_female
64220	breast_unknown_female
131177	breast_unknown_female
1511	breast_unknown_male
149773	breast_unknown_female
101927571	breast_unknown_female
9383	breast_unknown_female
6374	breast_unknown_female
492307	breast_unknown_male
159119	breast_unknown_male
157807	breast_unknown_male
150572	breast_unknown_female
63928	breast_unknown_male
79444	breast_unknown_male
84432	breast_unknown_male
100132874	breast_unknown_female
1908	breast_unknown_female
65268	breast_unknown_female
102723661	breast_unknown_male
127665	breast_unknown_female
4588	breast_unknown_female
8626	breast_unknown_female
1380	breast_unknown_female
8128	breast_unknown_female
3892	breast_unknown_female
100144595	breast_unknown_male
389084	breast_unknown_female
4887	breast_unknown_male
8437	breast_unknown_female
54798	breast_unknown_female
7447	breast_unknown_female
644943	breast_unknown_female
11240	breast_unknown_female
9982	breast_unknown_female
101926892	breast_unknown_male
222865	breast_unknown_female
10563	breast_unknown_female
131034	breast_unknown_male
1950	breast_unknown_female
8647	breast_unknown_male
5021	breast_unknown_female
284191	breast_unknown_female
3240	breast_unknown_male
106456574	breast_unknown_male
122046	breast_unknown_male
100124700	breast_unknown_female
886	breast_unknown_male
3227	breast_unknown_female
3760	breast_unknown_female
11086	breast_unknown_male
2893	breast_unknown_female
363	breast_unknown_female
57348	breast_unknown_female
55079	breast_unknown_female
340811	breast_unknown_male
1826	breast_unknown_female
164284	breast_unknown_female
10690	breast_unknown_female
1381	breast_unknown_female
131096	breast_unknown_female
1821	breast_unknown_male
342897	breast_unknown_female
6354	breast_unknown_male
53335	breast_unknown_female
26257	breast_unknown_female
222584	breast_unknown_female
387601	breast_unknown_male
722	breast_unknown_female
101929497	breast_unknown_female
93082	breast_unknown_female
728441	breast_unknown_female
3739	breast_unknown_male
345643	breast_unknown_female
100874084	breast_unknown_female
133396	breast_unknown_male
10170	breast_unknown_male
1447	breast_unknown_female
26280	breast_unknown_female
389023	breast_unknown_male
150084	breast_unknown_female
219595	breast_unknown_female
4653	breast_unknown_male
10942	breast_unknown_female
10331	breast_unknown_female
91156	breast_unknown_female
118425	breast_unknown_male
171177	breast_unknown_female
90019	breast_unknown_female
23495	breast_unknown_female
94025	breast_unknown_female
83539	breast_unknown_female
341277	breast_unknown_female
2568	breast_unknown_female
7200	breast_unknown_male
286178	breast_unknown_male
440689	breast_unknown_female
8339	breast_unknown_female
9058	breast_unknown_female
345651	breast_unknown_female
125115	breast_unknown_female
7380	breast_unknown_female
101927244	breast_unknown_male
3898	breast_unknown_female
133688	breast_unknown_male
406988	breast_unknown_female
3866	breast_unknown_female
1907	breast_unknown_female
100885789	breast_unknown_female
165257	breast_unknown_female
728192	breast_unknown_female
362	breast_unknown_female
255928	breast_unknown_male
1591	breast_unknown_female
57402	breast_unknown_female
101927845	breast_unknown_female
133491	breast_unknown_male
2938	breast_unknown_female
100130954	breast_unknown_female
2348	breast_unknown_female
643414	breast_unknown_female
4184	breast_unknown_male
60680	breast_unknown_female
81849	breast_unknown_female
11272	breast_unknown_female
5672	breast_unknown_female
401613	breast_unknown_male
3291	breast_unknown_female
1071	breast_unknown_male
80763	breast_unknown_male
112267897	breast_unknown_female
